symbol_id,path,path_b64,qualified_name,kind,start_line,start_col,end_line,end_col,parent_symbol,decorators,complexity,status,reviewer,verified_by,test_ids,finding_ids,notes
SYM-9d28d383a050a5de4b73b7d5,docs/archief/bulk-archive-2025-08-18/testing/quick_functional_test.py,ZG9jcy9hcmNoaWVmL2J1bGstYXJjaGl2ZS0yMDI1LTA4LTE4L3Rlc3RpbmcvcXVpY2tfZnVuY3Rpb25hbF90ZXN0LnB5,docs.archief.bulk-archive-2025-08-18.testing.quick_functional_test,module,1,0,62,0,,,1,pending,,,,,
SYM-318b3afd7d0044952899bf63,docs/examples/classifier_integration_ui.py,ZG9jcy9leGFtcGxlcy9jbGFzc2lmaWVyX2ludGVncmF0aW9uX3VpLnB5,docs.examples.classifier_integration_ui,module,1,0,328,0,,,1,pending,,,,,
SYM-f48a7093bf008da9496d739f,docs/examples/classifier_integration_ui.py,ZG9jcy9leGFtcGxlcy9jbGFzc2lmaWVyX2ludGVncmF0aW9uX3VpLnB5,render_classification_step,function,22,0,55,17,SYM-318b3afd7d0044952899bf63,,1,pending,,,,,
SYM-a03ce7d2cde8c2017b5b4283,docs/examples/classifier_integration_ui.py,ZG9jcy9leGFtcGxlcy9jbGFzc2lmaWVyX2ludGVncmF0aW9uX3VpLnB5,_display_classification_result,function,58,0,90,82,SYM-318b3afd7d0044952899bf63,,2,pending,,,,,
SYM-0db939b675b9aef4da925776,docs/examples/classifier_integration_ui.py,ZG9jcy9leGFtcGxlcy9jbGFzc2lmaWVyX2ludGVncmF0aW9uX3VpLnB5,handle_generate_definition_with_classification,async_function,93,0,201,17,SYM-318b3afd7d0044952899bf63,,10,pending,,,,,
SYM-e253c65b5c82a17fc7116e20,docs/examples/classifier_integration_ui.py,ZG9jcy9leGFtcGxlcy9jbGFzc2lmaWVyX2ludGVncmF0aW9uX3VpLnB5,_display_validation_results,function,204,0,223,13,SYM-318b3afd7d0044952899bf63,,4,pending,,,,,
SYM-df64097b0b04d9d9dbf79e23,docs/examples/classifier_integration_ui.py,ZG9jcy9leGFtcGxlcy9jbGFzc2lmaWVyX2ludGVncmF0aW9uX3VpLnB5,simplified_ui_integration_example,function,229,0,264,32,SYM-318b3afd7d0044952899bf63,,2,pending,,,,,
SYM-278468c46132a8cca3676ef1,docs/examples/classifier_integration_ui.py,ZG9jcy9leGFtcGxlcy9jbGFzc2lmaWVyX2ludGVncmF0aW9uX3VpLnB5,batch_classification_example,function,271,0,328,9,SYM-318b3afd7d0044952899bf63,,4,pending,,,,,
SYM-c76adcd1e6a8575528b5d7e0,docs/examples/service_adapter_with_classifier.py,ZG9jcy9leGFtcGxlcy9zZXJ2aWNlX2FkYXB0ZXJfd2l0aF9jbGFzc2lmaWVyLnB5,docs.examples.service_adapter_with_classifier,module,1,0,448,0,,,1,pending,,,,,
SYM-e3fd0a7437dd55631d6c6d90,docs/examples/service_adapter_with_classifier.py,ZG9jcy9leGFtcGxlcy9zZXJ2aWNlX2FkYXB0ZXJfd2l0aF9jbGFzc2lmaWVyLnB5,ServiceAdapter,class,27,0,234,9,SYM-c76adcd1e6a8575528b5d7e0,,1,pending,,,,,
